Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/hssf/record/aggregates/FormulaRecordAggregate;1;4;3;0.02605570530098833;2.9514824797843664;108;1.6972147349505837;106.04043126684638;;28;2;0;8;51;0;3;5;26;0.7314814814814815;237;0.75;3;0.3157894736842105;0.1984126984126984;1;6;7.321428571428571
org/apache/poi/hssf/record/BeginRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;9;2;0;4;17;36;1;3;7;1.125;70;0.0;0;0.6666666666666666;0.5555555555555556;1;6;6.666666666666667
org/apache/poi/hssf/record/PasswordRecord;1;2;2;0.02605570530098833;1.9559748427672956;77;1.6945193171608264;75.2282120395328;;12;2;0;4;22;54;1;3;10;0.8181818181818182;115;0.5;0;0.5714285714285714;0.5;1;6;8.416666666666666
org/apache/poi/hssf/record/RefModeRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;12;2;0;5;22;54;2;3;10;0.9545454545454546;117;0.25;0;0.5714285714285714;0.5;1;6;8.416666666666666
org/apache/poi/hssf/record/FontRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;38;2;0;9;56;511;4;5;35;0.9380630630630631;602;0.625;4;0.2608695652173913;0.23938223938223938;1;6;14.210526315789474
org/apache/poi/hssf/record/CalcModeRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;12;2;0;5;22;54;2;3;10;0.9818181818181819;118;0.2;0;0.5714285714285714;0.5;1;6;8.416666666666666
org/apache/poi/poifs/eventfilesystem/POIFSReaderRegistry;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;6;1;0;4;22;0;1;3;0;0.33333333333333337;163;1.0;0;0.0;0.5;0;0;25.666666666666668
org/apache/poi/util/DrawingDump;0;3;1;0.02515723270440251;0.9766397124887691;31;0.7798742138364778;30.275831087151843;;2;1;0;3;8;1;0;3;2;2.0;27;0.0;0;0.0;0.5;0;0;12.5
org/apache/poi/poifs/storage/RawDataBlockList;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;5;2;0;8;16;10;4;4;5;2.0;49;0.0;0;0.5555555555555556;0.5;0;0;8.8
org/apache/poi/hssf/eventmodel/ModelFactoryListener;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;1;1;0;2;1;0;1;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0
org/apache/poi/hssf/record/NumberFormatIndexRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;12;2;0;4;24;46;0;4;10;0.8181818181818182;139;0.5;0;0.5714285714285714;0.5;1;6;10.416666666666666
org/apache/poi/poifs/storage/DocumentBlock;1;2;2;0.02605570530098833;1.9559748427672956;70;1.6882300089847257;68.37286612758312;;10;2;0;5;19;5;2;3;8;0.7407407407407407;223;1.0;0;0.3;0.22857142857142856;1;2;21.0
org/apache/poi/hssf/record/ExtSSTRecord;1;4;2;0.13027852650494154;1.9721473495058401;138;7.07008086253369;135.6253369272237;;17;2;0;7;41;66;3;4;15;0.85;319;0.4;0;0.46153846153846156;0.3137254901960784;1;6;17.470588235294116
org/apache/poi/poifs/filesystem/DirectoryEntry;1;2;2;0.02605570530098833;1.9559748427672956;85;1.7259658580413295;83.06019766397125;;9;1;0;8;9;36;5;4;9;2.0;9;0.0;0;0.0;0.3148148148148148;0;0;0.0
org/apache/poi/poifs/property/PropertyConstants;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;0;1;0;0;0;0;0;0;0;2.0;4;0.0;0;0.0;0.0;0;0;0.0
org/apache/poi/ddf/EscherProperty;0;3;1;0.02515723270440251;0.9766397124887691;17;0.4276729559748427;16.602875112309075;;10;1;2;11;12;3;10;1;10;0.3333333333333333;69;1.0;0;0.0;0.34;0;0;5.8
